ID;HPA;GO;MitoCarta;IMPI_known;IMPI_predicted
ENSG00000002549;0;1;0;1;0
ENSG00000004468;0;0;0;1;0
ENSG00000005884;0;0;0;1;0
ENSG00000006125;0;0;0;0;1
ENSG00000006282;0;1;0;1;0
ENSG00000006451;0;0;0;0;1
ENSG00000007516;0;0;0;0;1
ENSG00000011052;0;0;0;0;1
ENSG00000013583;0;1;0;1;0
ENSG00000014824;0;1;0;1;0
ENSG00000022267;0;0;0;1;0
ENSG00000025708;0;0;0;0;1
ENSG00000026025;0;0;0;0;1
ENSG00000026652;0;0;0;1;0
ENSG00000035141;0;1;1;1;0
ENSG00000039560;0;0;0;0;1
ENSG00000041988;0;0;0;0;1
ENSG00000047230;0;0;0;0;1
ENSG00000048707;0;0;0;1;0
ENSG00000053371;0;1;0;1;0
ENSG00000060971;0;1;0;0;1
ENSG00000063177;0;0;0;0;1
ENSG00000063241;0;1;1;1;0
ENSG00000063761;0;1;0;0;1
ENSG00000065060;0;0;0;0;1
ENSG00000065413;0;0;1;0;1
ENSG00000066651;0;1;0;1;0
ENSG00000066739;0;0;0;0;1
ENSG00000067177;0;0;0;0;1
ENSG00000067560;0;0;0;0;1
ENSG00000068097;0;0;1;0;1
ENSG00000068784;0;0;1;0;1
ENSG00000070081;0;1;0;1;0
ENSG00000071082;0;0;0;0;1
ENSG00000072110;0;0;0;0;1
ENSG00000072210;0;1;0;1;0
ENSG00000072274;0;0;0;0;1
ENSG00000074695;0;0;0;0;1
ENSG00000074755;0;0;1;0;1
ENSG00000074800;0;0;0;0;1
ENSG00000075035;0;0;0;0;1
ENSG00000075624;0;0;0;1;0
ENSG00000075785;0;0;0;0;1
ENSG00000077157;0;0;0;0;1
ENSG00000078369;0;0;0;0;1
ENSG00000079332;0;0;0;1;0
ENSG00000080371;0;0;0;0;1
ENSG00000080824;0;0;0;0;1
ENSG00000081177;0;0;1;1;0
ENSG00000083099;0;1;0;1;0
ENSG00000084733;0;0;0;0;1
ENSG00000085662;0;0;0;0;1
ENSG00000086289;0;0;0;0;1
ENSG00000087086;0;0;0;0;1
ENSG00000088320;0;0;0;0;1
ENSG00000088854;0;0;0;0;1
ENSG00000089009;0;0;0;0;1
ENSG00000089157;0;0;0;0;1
ENSG00000089597;0;0;0;0;1
ENSG00000092841;0;0;0;0;1
ENSG00000093010;0;1;0;0;1
ENSG00000099797;0;0;0;0;1
ENSG00000099940;0;1;0;1;0
ENSG00000099977;0;0;1;0;1
